what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1444914930512
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1444914930512
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1444914930513
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1444914930514
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1444914930514
os,sysinfo,,,"win32",1444914930517
arch,sysinfo,,,"x86_64",1444914930517
ws,sysinfo,,,"win32",1444914930517
locale,sysinfo,,,"en_US",1444914930517
processors,sysinfo,,,"4",1444914930517
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1444914930517
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1444914930517
java.specification.name,sysinfo,,,"Java Platform API Specification",1444914930517
java.specification.vendor,sysinfo,,,"Oracle Corporation",1444914930517
java.specification.version,sysinfo,,,"1.8",1444914930517
java.vendor,sysinfo,,,"Oracle Corporation",1444914930517
java.version,sysinfo,,,"1.8.0_45",1444914930517
java.vm.info,sysinfo,,,"mixed mode",1444914930517
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1444914930517
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1444914930517
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1444914930517
java.vm.specification.version,sysinfo,,,"1.8",1444914930517
java.vm.vendor,sysinfo,,,"Oracle Corporation",1444914930517
java.vm.version,sysinfo,,,"25.45-b02",1444914930517
started,bundle,org.eclipse.m2e.launching,1.5.0.20140606-0033,"org.eclipse.m2e.launching",1444915024014
started,bundle,org.eclipse.jdt.debug.ui,3.6.300.v20140512-1926,"org.eclipse.jdt.debug.ui",1444915024199
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1444915024272
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1444915024280
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1444915024281
