what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.9.0.v20140411-1521,"org.eclipse.ui.workbench.texteditor",1447269079899
started,bundle,org.eclipse.update.configurator,3.3.300.v20140518-1928,"org.eclipse.update.configurator",1447269079899
started,bundle,org.eclipse.wst.sse.ui,1.3.300.v201406172023,"org.eclipse.wst.sse.ui",1447269079899
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1447269079961
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1447269079961
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1447269079961
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1447269079961
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1447269079961
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1447269079961
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1447269079961
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1447269079993
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1447269079993
os,sysinfo,,,"win32",1447269079993
arch,sysinfo,,,"x86_64",1447269079993
ws,sysinfo,,,"win32",1447269079993
locale,sysinfo,,,"en_US",1447269079993
processors,sysinfo,,,"4",1447269079993
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1447269079993
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1447269079993
java.specification.name,sysinfo,,,"Java Platform API Specification",1447269079993
java.specification.vendor,sysinfo,,,"Oracle Corporation",1447269079993
java.specification.version,sysinfo,,,"1.8",1447269079993
java.vendor,sysinfo,,,"Oracle Corporation",1447269079993
java.version,sysinfo,,,"1.8.0_45",1447269079993
java.vm.info,sysinfo,,,"mixed mode",1447269079993
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1447269079993
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1447269079993
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1447269079993
java.vm.specification.version,sysinfo,,,"1.8",1447269079993
java.vm.vendor,sysinfo,,,"Oracle Corporation",1447269079993
java.vm.version,sysinfo,,,"25.45-b02",1447269079993
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1447269080243
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1447269080274
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1447269080586
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1447269080618
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269083759
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269085712
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1447269085884
started,bundle,org.eclipse.ui.navigator,3.5.401.v20140724-1117,"org.eclipse.ui.navigator",1447269085946
opened,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1447269086040
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1447269086134
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1447269086165
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269088509
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269155747
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269158419
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269164294
error,log,,,"WinHttp.DetectAutoProxyConfigUrl for wpad failed with error 'The Proxy Auto-configuration URL was not found.\r\n' #12180.",1447269167388
started,bundle,org.eclipse.debug.ui,3.10.1.v20140822-1408,"org.eclipse.debug.ui",1447269168982
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1447269169513
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1447269169560
started,bundle,org.eclipse.jdt.debug,3.8.101.v20140902-1548,"org.eclipse.jdt.debug",1447269169716
started,bundle,org.eclipse.jdt.debug.ui,3.6.300.v20140512-1926,"org.eclipse.jdt.debug.ui",1447269169857
started,bundle,org.eclipse.m2e.launching,1.5.0.20140606-0033,"org.eclipse.m2e.launching",1447269170372
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1447269171094
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1447269171125
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1447269171125
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1447269171204
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1447269171391
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1447269173346
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269183081
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269185488
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269298325
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269303450
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269308622
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269314107
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269315607
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269324763
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1447269347499
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1447269348999
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269361531
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269414877
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269429488
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1447269432675
