what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1446448539934
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.newWizard",1446448539934
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1446448552450
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1446448553903
started,bundle,org.eclipse.wb.core.lib,1.7.0.r44x201405021445,"org.eclipse.wb.core.lib",1446448572639
started,bundle,org.eclipse.wb.core,1.7.0.r44x201405021445,"org.eclipse.wb.core",1446448572686
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1446448573107
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.newWizard",1446448573107
opened,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1446448573186
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1446448573232
started,bundle,org.eclipse.jdt.junit,3.7.300.v20140418-0836,"org.eclipse.jdt.junit",1446448582795
started,bundle,org.eclipse.mylyn.java.ui,3.13.0.v20140702-2225,"org.eclipse.mylyn.java.ui",1446448587108
started,bundle,org.eclipse.recommenders.injection,2.1.9.v20140917-1240,"org.eclipse.recommenders.injection",1446448587155
started,bundle,org.eclipse.recommenders.rcp,2.1.9.v20140917-1240,"org.eclipse.recommenders.rcp",1446448587264
started,bundle,org.eclipse.recommenders.completion.rcp,2.1.9.v20140917-1240,"org.eclipse.recommenders.completion.rcp",1446448587296
started,bundle,org.eclipse.recommenders.chain.rcp,2.1.9.v20140917-1240,"org.eclipse.recommenders.chain.rcp",1446448587311
started,bundle,org.eclipse.recommenders.models,2.1.9.v20140917-1240,"org.eclipse.recommenders.models",1446448587311
started,bundle,org.eclipse.recommenders.apidocs.rcp,2.1.9.v20140917-1240,"org.eclipse.recommenders.apidocs.rcp",1446448587327
error,log,,,"WinHttp.DetectAutoProxyConfigUrl for wpad failed with error 'The Proxy Auto-configuration URL was not found.\r\n' #12180.",1446448589780
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1446448680068
executed,command,org.eclipse.ui.workbench.texteditor,3.9.0.v20140411-1521,"org.eclipse.ui.edit.text.showInformation",1446448680115
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1446448683131
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1446448683162
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1446448709136
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1446448716636
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.newWizard",1446448716652
opened,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1446448716730
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1446448716761
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.file.save",1446448936886
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1446448938558
