what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.8.0_45",1444579187303
java.vm.info,sysinfo,,,"mixed mode",1444579187303
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1444579187303
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1444579187303
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1444579187303
java.vm.specification.version,sysinfo,,,"1.8",1444579187303
java.vm.vendor,sysinfo,,,"Oracle Corporation",1444579187303
java.vm.version,sysinfo,,,"25.45-b02",1444579187303
opened,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444579194049
started,bundle,org.eclipse.jdt.debug.ui,3.6.300.v20140512-1926,"org.eclipse.jdt.debug.ui",1444579194526
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444579194540
started,bundle,org.eclipse.ui.navigator,3.5.401.v20140724-1117,"org.eclipse.ui.navigator",1444579194693
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1444579197446
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1444579199820
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444579200036
opened,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444579200192
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444579200344
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444579200405
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1444579204039
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1444579207524
opened,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444579207754
