what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1444902567235
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1444902567236
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1444902567237
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1444902567255
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1444902567267
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1444902567269
os,sysinfo,,,"win32",1444902567276
arch,sysinfo,,,"x86_64",1444902567276
ws,sysinfo,,,"win32",1444902567276
locale,sysinfo,,,"en_US",1444902567276
processors,sysinfo,,,"4",1444902567277
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1444902567277
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1444902567277
java.specification.name,sysinfo,,,"Java Platform API Specification",1444902567277
java.specification.vendor,sysinfo,,,"Oracle Corporation",1444902567277
java.specification.version,sysinfo,,,"1.8",1444902567277
java.vendor,sysinfo,,,"Oracle Corporation",1444902567277
java.version,sysinfo,,,"1.8.0_45",1444902567277
java.vm.info,sysinfo,,,"mixed mode",1444902567277
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1444902567277
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1444902567277
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1444902567277
java.vm.specification.version,sysinfo,,,"1.8",1444902567277
java.vm.vendor,sysinfo,,,"Oracle Corporation",1444902567277
java.vm.version,sysinfo,,,"25.45-b02",1444902567277
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1444902575101
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1444902575159
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1444902575388
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1444902575494
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1444902575587
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1444902575792
started,bundle,org.eclipse.m2e.launching,1.5.0.20140606-0033,"org.eclipse.m2e.launching",1444902577498
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1444902577691
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1444902577694
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1444902577695
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1444902577734
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1444902577834
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1444902577984
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1444902580805
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444902640923
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1444902641096
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1444902658681
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1444902721153
started,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1444902724554
opened,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444902728361
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1444902728415
