what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core,1.7.0.r44x201405021445,"org.eclipse.wb.core",1439026466866
started,bundle,org.eclipse.m2e.launching,1.5.0.20140606-0033,"org.eclipse.m2e.launching",1439026467543
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1439026467871
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1439026467872
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1439026467873
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1439026467881
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1439026467919
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439026469186
started,bundle,org.eclipse.ui.navigator,3.5.401.v20140724-1117,"org.eclipse.ui.navigator",1439026469317
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026483633
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026810078
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026812667
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026874749
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026878351
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026881516
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026883155
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026886342
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026887625
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026896877
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026900523
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026906436
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439026908789
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026919547
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026922604
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026925331
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026952453
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026955489
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026959233
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439026961419
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027003802
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027006857
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027013094
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027016280
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027036668
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027162705
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027222416
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027301747
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027303158
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027303357
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027305864
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027315846
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027316725
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439027319103
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439027332675
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027348329
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027349324
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439027352275
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439027362600
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027433353
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027465056
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027489399
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027491148
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439027493481
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439027513747
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.selectAll",1439027518752
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1439027521549
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027524243
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027546028
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027546639
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027563225
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439027566010
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028049278
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439028056261
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1439028094718
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028252857
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028253750
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439028255826
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439028269913
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439028281116
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028287056
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028350000
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439028353013
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1439028366570
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1439028367003
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028368809
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028371058
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028382974
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028384435
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028391801
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028392843
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439028395272
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439028789041
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028816492
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028823342
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028840200
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439028852674
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029052532
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029053985
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439029056363
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439029202108
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029210898
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029211797
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439029214643
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439029219924
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029250641
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029252099
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439029254540
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029303014
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029360040
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029362586
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439029423565
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439029424923
executed,command,org.eclipse.ui.workbench.texteditor,3.9.0.v20140411-1521,"org.eclipse.ui.edit.text.goto.lineEnd",1439029617342
executed,command,org.eclipse.ui.workbench.texteditor,3.9.0.v20140411-1521,"org.eclipse.ui.edit.text.goto.lineEnd",1439029617872
executed,command,org.eclipse.ui.workbench.texteditor,3.9.0.v20140411-1521,"org.eclipse.ui.edit.text.toggleOverwrite",1439029631008
executed,command,org.eclipse.ui.workbench.texteditor,3.9.0.v20140411-1521,"org.eclipse.ui.edit.text.toggleOverwrite",1439029636216
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029800784
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801256
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801289
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801320
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801349
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801406
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801421
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801440
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801469
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801500
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801538
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801567
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801602
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801627
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801661
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801690
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801723
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801752
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801783
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801820
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439029801844
