what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439200438068
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439200692160
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1439200732817
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1439200733251
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.delete",1439200733812
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439200791087
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439200800071
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439200990846
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201013709
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201018350
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201028821
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201048548
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201050462
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.cut",1439201314569
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1439201323479
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201384223
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201414976
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201578222
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201628479
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201831862
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201832839
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201833050
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439201838169
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202066567
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202078014
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202151457
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202152180
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439202153969
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439202180749
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439202315702
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439202316182
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.undo",1439202316780
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.copy",1439202323987
executed,command,org.eclipse.ui,3.106.0.v20140812-1751,"org.eclipse.ui.edit.paste",1439202327163
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202365595
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202366939
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439202368158
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439202379777
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202388481
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202388917
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202393429
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202395148
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439202397064
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439202410607
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202491577
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202492167
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1439202493771
activated,editor,org.eclipse.jdt.ui,3.10.1.v20140817-1500,"org.eclipse.jdt.ui.CompilationUnitEditor",1439202624821
deactivated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202681841
activated,workbench,org.eclipse.ui.workbench,3.106.1.v20140827-1737,"",1439202683646
